"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.51851982848288e-23,1.68807020113637,0.181,0.026,7.53983614045597e-19,"9","MAPKAPK2"
3.52860805676649e-23,1.61486237593839,0.284,0.058,7.56145420484491e-19,"9","TUBB4B"
3.56344471349635e-23,4.59973076784541,0.034,0.001,7.63610567655132e-19,"9","ELFN1-AS1"
3.71621793204447e-23,1.22134127042166,0.147,0.018,7.96348340657809e-19,"9","RRP1"
3.79652880273809e-23,0.946225304966933,0.259,0.048,8.13558157138745e-19,"9","OGFR"
3.80067129347433e-23,3.32609331312884,0.034,0.001,8.14445851478615e-19,"9","C16orf46"
3.80067129347433e-23,3.70827173106445,0.034,0.001,8.14445851478615e-19,"9","TLE6"
3.85139101666401e-23,1.31486529500556,0.164,0.022,8.25314580960932e-19,"9","CIAPIN1"
3.86550762389318e-23,1.62337500933391,0.095,0.008,8.28339628724069e-19,"9","DENND1A"
3.91036035321312e-23,1.06957644329298,0.224,0.038,8.3795112009004e-19,"9","CDC25B"
4.03867211486267e-23,0.718751606666161,0.466,0.119,8.65447047493922e-19,"9","H2AFY"
4.11412521468906e-23,0.720326340115032,0.379,0.087,8.81615892255719e-19,"9","WDR1"
4.27218886990742e-23,0.790643224899246,0.371,0.085,9.15487352932461e-19,"9","DHRS7"
4.33147276533299e-23,1.91017136483321,0.078,0.006,9.28191298883207e-19,"9","RRAS"
4.33974129649463e-23,2.02075965179857,0.069,0.004,9.29963162425835e-19,"9","LXN"
4.5050587135931e-23,0.670500269892421,0.672,0.203,9.65389031735866e-19,"9","LSM5"
4.69774457984403e-23,2.30232259148845,0.06,0.003,1.00667968601478e-18,"9","PLEKHF1"
5.08097476892417e-23,2.01391143771886,0.095,0.008,1.08880208323276e-18,"9","NIF3L1"
5.2355213209108e-23,0.777805353612236,0.69,0.21,1.12191986385798e-18,"9","FIS1"
5.26278518486843e-23,0.672793065027809,0.517,0.139,1.12776223726546e-18,"9","POLR2K"
5.35436918758905e-23,1.02523791951641,0.216,0.036,1.14738777320846e-18,"9","ITFG1"
5.65876457405043e-23,3.46363656579777,0.043,0.002,1.21261666057327e-18,"9","AC009133.3"
5.66673202424175e-23,0.67778816940942,0.56,0.157,1.21432400547477e-18,"9","SNRPD3"
5.70066381897323e-23,3.30051904139092,0.043,0.002,1.22159524976777e-18,"9","LRTOMT"
6.59140930073781e-23,1.23361576306588,0.733,0.268,1.41247309905511e-18,"9","RAN"
6.78158239596369e-23,0.856782803573736,0.388,0.092,1.45322529163106e-18,"9","NRDC"
6.87205122379376e-23,0.429637822383774,0.302,0.061,1.47261185674677e-18,"9","TMEM126B"
7.11928653960633e-23,0.994044826158732,0.181,0.026,1.52559191257224e-18,"9","SNX4"
7.15372182440425e-23,1.19748601913449,0.871,0.343,1.53297104975159e-18,"9","NEAT1"
7.25412328284284e-23,0.906135429698582,0.543,0.153,1.55448607828039e-18,"9","ARHGDIA"
7.38485458948143e-23,0.857248520589156,0.241,0.043,1.58250048997998e-18,"9","CMC1"
7.51122115495813e-23,0.703978670410985,0.328,0.07,1.60957958129598e-18,"9","NAXE"
7.51972760759838e-23,2.0364326499927,0.095,0.008,1.61140242903226e-18,"9","RDH13"
8.61898193300024e-23,0.75340597454768,0.293,0.059,1.84696163842262e-18,"9","HBA2"
8.67852507995165e-23,0.986846890106069,0.147,0.018,1.85972113938284e-18,"9","PLA2G12A"
8.68213132998025e-23,1.73267306522911,0.069,0.004,1.86049392270147e-18,"9","SCARB1"
8.82812528426368e-23,0.948954572259336,0.793,0.281,1.89177896716486e-18,"9","JTB"
8.83529852045285e-23,0.834969886184967,0.621,0.183,1.89331611994784e-18,"9","ATP5PD"
8.92055738338077e-23,1.45202016019365,0.241,0.044,1.91158624168467e-18,"9","TMEM50B"
9.11021473096881e-23,1.33337766609439,0.259,0.049,1.95222791469931e-18,"9","FLOT1"
9.30361847614079e-23,0.773357659653961,0.319,0.068,1.99367240325221e-18,"9","GNAI3"
9.46954612708038e-23,1.03357354049884,0.155,0.02,2.02922903957206e-18,"9","MRS2"
9.97891357109977e-23,0.842003235120301,0.353,0.08,2.13838138915097e-18,"9","FLNA"
1.04146554888908e-22,1.24623114907476,0.172,0.024,2.23175652471441e-18,"9","MRPS22"
